Handle,Title,Body,Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Image Src
zebra-print-bikini, Zebra Print Bikini,"I hear that zebra print swimwear is rather 'in' at the moment, and has been seen on everyone from Cheryl Cole to...actually, she's the only one who I had heard of (What on earth is a Kim Kardashian?? Answers in a postcard please).

Classic black and white zebra print bikini. Just make sure you wear suntan lotion ot you'll be black and white and red all over!! Hahahaha... (I'll get my coat)

One Size fits all.",Docblack,Bikinis,"bikini, black, white, zebra",Title,Size Free,,,,,DB341-ZEB-0,0,shopify,100,deny,manual,14.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB341_Zebra_Print_Bikini2.jpg?1257429506
zebra-print-bikini,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB341_Zebra_Print_Bikinitop.jpg?1257429506
zebra-print-bikini,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB341_Zebra_Print_Bikinibottom.jpg?1257429506
animal-print-hair-band-various-colours,Animal Print Furry Hair Band (Various Colours),"It doesn't need pointing out that this fur is faux, partly because the only creature that would produce black and pink fur would be a Muppet (Note: no Muppets were harmed in the making of these head bands). ",Docblack,Accessories,"animal print, fur, hair band, head band, leopard, pink",Title,Leopard,,,,,DB187-LEP-0,0,shopify,100,deny,manual,3.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB187_Hair_Band_Silver_Leopard_PrintPS.jpg?1257429506
animal-print-hair-band-various-colours,,,,,,Title,Pink and Black,,,,,DB189-BLK-0,0,shopify,100,deny,manual,3.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB189_Hair_Band_Purple_Black_FurPS.jpg?1257429506
bejewelled-black-diamond-skull-belt-buckle,Bejewelled Black Diamond Skull Belt Buckle ,"Diamonds are a girl's best friend, according to the Marilyn Monroe. Not true. Diamonds like everyone. And this encrusted bling-tastic belt buckle is case in point. Clearly the 'diamonds' are faux, but it doesn't make this buckle any less fabulous. (Sorry, bit of a Gok Wan moment there)",Docblack,Accessories,"belt buckle, diamonds, jewel, skull",Title,Size Free,,,,,DB46-BLK-0,1000,shopify,99,deny,manual,14.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB46_SkullBeltBuckle.jpg?1257429506
skull-and-cross-belt-buckle,"Belt Buckle - Silver Bulldog ""Boss"" ","Looks like Bruce Springsteen might have a fight on his hands as to who really is 'The Boss'. After all, this dog seem pretty convinced it's him. If you feel that the boss is actually you, what better way to say it than with a very cool belt buckle? ",Docblack,Accessories,"belt buckle, bulldog, silver",Title,Size Free,,,,,DB47-BLK-0,1000,shopify,100,deny,manual,12.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB47_BulldogBeltBuckle.jpg?1257429506
skull-and-cross-gold-and-black-belt-buckle,Belt Buckle - Skull and Cross Gold and Black Adornment,"Featuring the mandatory mixture of skulls and crosses, this buckle is the  perfect way to jazz up one's common or garden variety belt! Heavy duty and oh so cool, perfect for adding a dash of rock to an outfit.",Docblack,Accessories,"belt buckle, cross, gold, skulls",Title,Size Free,,,,,DB45-BLK-0,1000,shopify,100,deny,manual,9.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB45_CrossBeltBuckle_1.jpg?1257429506
black-and-blue-skull-arm-length-fingerless-gloves,Black and Blue Skull Arm Length Fingerless Gloves,"Helping to keep your hands snug in all their stripey glory, these elbow length fingerless gloves are available in a variety of different colours, and skull types (hence forth known as Pirate Skull, Cheery Skull and Mutant skull). This one is Pirate Skull me hearties.

Uni-sex, one size fits all. Also available in regular length.",Docblack,Accessories,"black, blue, Gloves, goth, halloween, pirate, skulls, striped",Size Free,Size Free,,,,,DB223-BLU-0,0,shopify,100,deny,manual,3.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB223_Black_Blue_Long_Fingerless_GlovesPS.jpg?1257429506
black-and-blue-skull-fingerless-gloves,Black and Blue Skull Fingerless Gloves,"Helping to keep your hands snug in all their stripey glory, these fingerless gloves are available in a variety of different colours, and skull types (hence forth known as Pirate Skull, Cheery Skull and Mutant skull). This one is Cheery Skull. Isn't he sweet? Don't you want to take him home? >^-^<

Uni-sex, one size fits all. Also available in elbow length.",Docblack,Accessories,"black, blue, Gloves, goth, skulls, striped",Size Free,Size Free,,,,,DB216-BLU-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB216_Black_Blue_Fingerless_GlovesPS.jpg?1257429506
